title,main_genre,belongs_to_collection,budget,revenue,production_companies,vote_average,popularity,runtime,cast_size,crew_size,cast_tr_rev,director_tr_rev,production_company_tr_roi,English,title_length,rel_month,rel_year
Lionheart,Action,False,6.0,24.078196,2.0,5.9,4.619068,105.0,8,12,47.33172000000001,0.0,5.68274546700084,True,9,June,1990
Another 48 Hrs.,Thriller,True,38.0,153.518974,1.0,5.8,6.9389210000000014,95.0,15,7,1506.513442,224.04755199999997,5.402202180290244,True,13,June,1990
Dick Tracy,Adventure,False,47.0,103.738726,1.0,5.9,8.304775999999999,103.0,25,9,719.660947,40.382659000000004,11.38443236888112,True,9,June,1990
Gremlins 2: The New Batch,Comedy,True,50.0,41.482207,2.0,6.3,14.383185,106.0,27,17,312.563118,243.43784899999997,5.188127026666667,True,21,June,1990
RoboCop 2,Action,True,35.0,45.681173,1.0,5.6,10.969876,117.0,57,80,181.109917,718.4000000000001,3.678510584748046,True,8,June,1990
Days of Thunder,Adventure,False,60.0,157.920733,2.0,5.9,7.046753,107.0,12,17,1468.1655470000003,678.420545,5.363865292259024,True,13,June,1990
Die Hard 2,Action,True,70.0,240.031094,3.0,6.6,18.785984,124.0,44,73,227.17420900000008,72.85470400000003,4.380348432305026,True,8,July,1990
The Adventures of Ford Fairlane,Action,False,49.0,20.423389,2.0,6.2,3.834949,104.0,55,32,91.03327300000002,312.885798,4.311148786825609,True,27,July,1990
Ghost,Fantasy,False,22.0,505.0,1.0,6.9,11.945397,127.0,14,61,509.19275700000003,20.45834000000002,5.247637533470123,True,5,July,1990
Presumed Innocent,Drama,False,22.0,221.303188,2.0,6.6,7.0256570000000025,127.0,22,15,3615.0064300000004,110.853873,1.0,True,16,July,1990
Mo' Better Blues,Drama,False,10.0,16.153593,2.0,6.3,2.715137,129.0,14,6,45.052172,37.295445,5.695638997450278,True,14,August,1990
Arachnophobia,Comedy,False,31.0,53.20818000000001,3.0,6.2,5.418428,103.0,32,14,22.784795000000003,0.0,4.098506305,True,13,August,1990
Flatliners,Drama,False,26.0,61.489265,2.0,6.3,11.890138,115.0,19,24,649.535531,92.056439,4.618289892810153,True,10,August,1990
The Two Jakes,Crime,True,19.0,10.0,1.0,6.2,4.476578,138.0,18,8,815.0143939999999,0.0,5.519621937687397,True,11,August,1990
Darkman,Action,True,16.0,48.87850200000001,2.0,6.2,8.899417999999997,96.0,21,60,69.329036,35.323043999999996,5.660136112038382,True,7,August,1990
Postcards from the Edge,Comedy,False,22.0,39.071603,1.0,6.3,2.523655,101.0,11,4,679.9720520000001,347.07599700000003,2.520692419684704,True,20,September,1990
GoodFellas,Drama,False,25.0,46.836394,1.0,8.2,15.424092000000002,145.0,137,67,472.98593200000005,125.86141400000001,1.0,True,10,September,1990
Death Warrant,Action,False,4.0,16.853487,4.0,5.4,13.90542,93.0,16,2,87.04000400000001,0.0,1.0,True,12,September,1990
Hardware,Horror,False,1.5,5.728953,3.0,5.6,6.026159,93.0,20,23,0.0,0.0,3.6998815000000005,True,8,September,1990
Miller's Crossing,Drama,False,14.0,5.080409,2.0,7.5,7.495853,115.0,44,43,21.283693,29.18028,4.122464769740708,True,16,September,1990
Marked for Death,Action,False,12.0,46.0444,3.0,5.6,5.8457120000000025,94.0,23,9,98.918319,17.768757,4.071131247859354,True,14,October,1990
Mr. Destiny,Fantasy,False,20.0,15.379253,1.0,6.1,4.414928,110.0,8,8,472.851054,0.0,8.834311394052044,True,10,October,1990
Rocky V,Drama,True,42.0,119.946358,1.0,5.3,14.007329,104.0,16,23,3586.387068,437.7965069999999,6.042138858346129,True,6,October,1990
Night of the Living Dead,Horror,False,4.2,5.835247,2.0,6.7,10.644165,88.0,21,10,0.0,0.0,4.502163694206448,True,20,October,1990
